DATE,rf
17/11/20,8.47615E-05
18/11/20,8.03699E-05
19/11/20,8.03699E-05
20/11/20,0.000241129
23/11/20,8.03699E-05
24/11/20,8.03699E-05
25/11/20,7.90481E-05
26/11/20,7.90481E-05
27/11/20,0.00031623
01/12/20,7.90481E-05
02/12/20,8.2188E-05
03/12/20,8.2188E-05
04/12/20,0.000246584
07/12/20,8.2188E-05
08/12/20,8.2188E-05
09/12/20,8.38322E-05
10/12/20,8.38322E-05
11/12/20,0.000251518
14/12/20,8.38322E-05
15/12/20,8.38322E-05
16/12/20,8.43181E-05
17/12/20,8.43181E-05
18/12/20,0.000252976
21/12/20,8.43181E-05
22/12/20,8.43181E-05
23/12/20,8.38322E-05
24/12/20,0.000335371
28/12/20,8.38322E-05
29/12/20,8.38322E-05
30/12/20,8.30301E-05
31/12/20,8.30301E-05
01/01/21,0.000249111
04/01/21,8.30301E-05
05/01/21,8.30301E-05
06/01/21,8.19382E-05
07/01/21,8.19382E-05
08/01/21,0.000245835
11/01/21,8.19382E-05
12/01/21,8.19382E-05
13/01/21,8.83614E-05
14/01/21,8.83614E-05
15/01/21,0.000265108
18/01/21,8.83614E-05
19/01/21,8.83614E-05
20/01/21,8.95303E-05
21/01/21,8.95303E-05
22/01/21,0.000268615
25/01/21,0.000179069
27/01/21,9.01345E-05
28/01/21,9.01345E-05
29/01/21,0.000270428
01/02/21,9.01345E-05
02/02/21,9.01345E-05
03/02/21,9.07491E-05
04/02/21,9.07491E-05
05/02/21,0.000272272
08/02/21,9.07491E-05
09/02/21,9.07491E-05
10/02/21,8.9798E-05
11/02/21,8.9798E-05
12/02/21,0.000269418
15/02/21,8.9798E-05
16/02/21,8.9798E-05
17/02/21,8.58311E-05
18/02/21,0.000257515
22/02/21,8.58311E-05
23/02/21,8.58311E-05
24/02/21,8.54436E-05
25/02/21,8.54436E-05
26/02/21,0.000256353
01/03/21,8.54436E-05
02/03/21,8.54436E-05
03/03/21,8.67836E-05
04/03/21,8.67836E-05
05/03/21,0.000260373
08/03/21,8.67836E-05
09/03/21,8.67836E-05
10/03/21,0.00017432
12/03/21,0.00026261
15/03/21,8.75289E-05
16/03/21,8.75289E-05
17/03/21,8.85894E-05
18/03/21,8.85894E-05
19/03/21,0.000265792
22/03/21,8.85894E-05
23/03/21,8.85894E-05
24/03/21,8.96363E-05
25/03/21,8.96363E-05
26/03/21,0.000358594
,
